"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"36",2,6,1,2,0,0,1,1,2,1,0,0,1,0,1,0,1,1,0,0,1,5,3,2,9,3,-6
"37",2,6,6,2,2,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,1,7,5,4,7,3,-2
"38",2,3,0,1,0,0,0,2,3,1,0,0,0,0,2,0,0,2,0,0,1,7,1,5,8,2,-7
"39",2,4,6,1,2,1,0,1,1,1,0,0,0,1,1,2,0,0,0,0,1,6,4,4,1,2,3
"40",2,1,4,0,1,1,1,2,1,0,1,0,0,0,2,1,1,0,0,0,1,0,5,4,8,-4,-3
"41",1,9,1,3,0,0,1,1,3,2,0,0,1,0,1,0,1,1,0,0,2,9,3,7,10,2,-7
"42",0,6,10,2,3,0,1,2,0,2,0,0,0,0,2,1,1,0,2,0,0,5,5,9,1,-4,4
"43",2,3,7,1,2,0,1,3,1,1,0,1,0,0,2,2,0,0,0,1,1,3,3,6,2,-3,1
"44",2,6,1,2,0,0,1,2,3,2,0,0,0,0,2,0,0,2,0,1,1,4,1,2,4,2,-3
"45",2,3,4,0,1,3,1,1,2,0,1,1,0,2,0,1,1,0,0,0,2,4,1,5,4,-1,-3
"46",2,9,4,3,1,0,1,1,2,2,0,0,1,0,1,1,1,0,0,0,2,6,4,2,3,4,1
"47",2,4,6,1,1,1,3,2,0,1,1,0,0,0,2,0,2,0,1,1,0,5,5,9,2,-4,3
"48",2,6,7,2,2,0,1,2,1,2,0,0,0,0,2,1,0,1,1,1,0,10,3,5,3,5,0
"49",2,0,7,0,2,0,1,4,1,0,0,2,0,0,2,2,0,0,0,1,1,1,7,11,4,-10,3
"50",0,10,9,3,3,1,0,0,1,2,0,0,1,1,0,2,0,0,1,0,1,6,9,1,4,5,5
"51",1,7,12,2,4,1,0,2,1,2,0,0,0,1,2,3,0,0,1,0,1,3,7,3,2,0,5
"52",2,6,7,2,2,0,1,3,2,2,0,1,0,0,2,2,1,0,0,0,2,7,7,14,9,-7,-2
"53",2,4,10,1,3,1,1,3,1,1,1,0,0,0,3,2,1,0,1,0,1,4,10,4,8,0,2
"54",2,13,9,4,3,1,0,0,2,1,1,0,3,0,0,3,0,0,0,0,2,10,6,3,2,7,4
"55",2,7,3,2,1,1,0,2,4,1,0,1,1,1,1,1,0,2,0,0,2,3,4,4,11,-1,-7
"56",0,2,6,0,2,2,0,3,3,0,1,1,0,1,2,2,0,1,0,0,2,4,4,11,6,-7,-2
"57",2,12,9,4,3,0,0,1,2,2,0,0,2,0,1,3,0,0,0,0,2,15,11,7,5,8,6
"58",2,1,6,0,1,1,3,4,1,0,0,2,0,1,2,1,1,1,0,2,0,1,5,6,5,-5,0
"59",2,7,10,2,3,1,1,2,1,2,0,0,0,1,2,2,0,1,1,1,0,7,9,7,7,0,2
"60",1,4,6,1,1,1,3,3,1,1,1,0,0,0,3,0,2,0,1,1,1,1,5,5,4,-4,1
"61",0,10,15,3,5,1,0,2,1,2,1,0,1,0,2,3,0,0,2,0,1,11,16,11,7,0,9
"62",2,7,10,1,3,4,1,1,2,0,2,0,1,2,1,3,0,0,0,1,2,6,10,5,9,1,1
"63",2,9,7,3,2,0,1,3,3,2,0,1,1,0,2,2,1,0,0,0,3,6,7,6,5,0,2
"64",2,16,10,5,3,1,1,0,2,2,1,0,3,0,0,2,0,1,1,1,1,13,5,5,4,8,1
"65",0,6,2,1,0,3,2,2,4,1,1,1,0,2,1,0,1,2,0,1,2,5,4,7,13,-2,-9
"66",1,13,9,4,3,1,0,1,3,3,0,0,1,1,1,3,0,0,0,0,3,9,11,4,6,5,5
"67",1,7,9,2,3,1,0,3,3,2,1,0,0,0,3,3,0,0,0,0,3,8,8,11,5,-3,3
"68",1,4,8,1,2,1,2,4,2,1,0,2,0,1,2,2,1,0,0,1,2,3,5,6,5,-3,0
"69",2,3,5,1,1,0,2,5,3,1,0,2,0,0,3,1,2,0,0,0,3,4,2,13,6,-9,-4
